pdf_name,sentiment_label
COMBINED-Q4-17-Shareholder-Letter-FINAL,Positive
FINAL-Q1-18-Shareholder-Letter,Positive
FINAL-Q1-19-Shareholder-Letter,Positive
FINAL-Q1-20-Shareholder-Letter,Positive
FINAL-Q1-21-Shareholder-Letter,Positive
FINAL-Q1-22-Shareholder-Letter,Positive
Final-Q1-23-Shareholder-Letter,Positive
FINAL-Q2-18-Shareholder-Letter,Positive
FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,Positive
FINAL-Q2-21-Shareholder-Letter,Positive
FINAL-Q2-22-Shareholder-Letter,Positive
FINAL-Q2-23-Shareholder-Letter,Positive
FINAL-Q3-18-Shareholder-Letter,Positive
FINAL-Q3-19-Shareholder-Letter,Positive
FINAL-Q3-20-Shareholder-Letter,Positive
FINAL-Q3-21-Shareholder-Letter,Positive
FINAL-Q3-22-Shareholder-Letter,Positive
FINAL-Q4-18-Shareholder-Letter,Positive
FINAL-Q4-19-Shareholder-Letter,Positive
FINAL-Q4-21-Shareholder-Letter,Positive
FINAL-Q4-22-Shareholder-Letter,Positive
FINAL-Q420-Shareholder-Letter,Positive
FINAL_Q2_15_Letter_to_Shareholders_With_Tables_,Positive
FINAL_Q3_15_Letter_to_Shareholders_With_Tables_,Positive
FINAL_Q3_Letter,Positive
Investor-Letter-Q1-2012,Positive
Investor-Letter-Q2-2012-07,Positive
Investor-Letter-Q3-2011,Positive
Investor-Letter-Q3-2012-10,Positive
Investor-Letter-Q4-2011,Positive
Investor-Letter-Q42012-01,Positive
Investor_Letter_Q12013,Positive
July-Investor-Letter-1130am,Positive
July2014EarningsLetter_7,Positive
Q1-11-Letter-to-shareholders,Positive
Q114-Earnings-Letter-4,Positive
Q116LettertoShareholders_W_TABLES_,Positive
Q117ShareholderLetterV2FINAL,Positive
Q1_15_Earnings_Letter_final_tables,Positive
Q2-19-Shareholder-Letter-FINAL,Positive
Q213-Investor-Letter,Positive
Q216LettertoShareholders_FINAL_w_Tables,Positive
Q2_17_Shareholder_Letter,Positive
Q313-Earnings-Letter-10,Positive
Q3_14_Letter_to_shareholders,Positive
Q3_17_Shareholder_Letter_COMBINED,Positive
Q4-13-Letter-to-shareholders,Positive
Q416ShareholderLetter,Positive
Q4_14_Letter_to_shareholders,Positive
Q4_15_Letter_to_Shareholders_-_COMBINED,Positive
